Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.31,0.61,0.46993095725221745
100% Corpus,3,0.31,0.9099999999999999,0.4979054956352231
100% Corpus,3,0.31,symmetric,0.47911508977687617
100% Corpus,3,0.61,0.01,0.3947578920673824
100% Corpus,3,0.61,0.31,0.412783412811126
100% Corpus,3,0.61,0.61,0.40889078913479504
100% Corpus,3,0.61,0.9099999999999999,0.40752117377096314
100% Corpus,3,0.61,symmetric,0.39421093123994533
100% Corpus,3,0.9099999999999999,0.01,0.38750272897887156
100% Corpus,3,0.9099999999999999,0.31,0.412783412811126
100% Corpus,3,0.9099999999999999,0.61,0.4080346139639502
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4109114456130983
100% Corpus,3,0.9099999999999999,symmetric,0.33140786014260365
100% Corpus,3,symmetric,0.01,0.39518866229612426
100% Corpus,3,symmetric,0.31,0.5022800610827011
100% Corpus,3,symmetric,0.61,0.49439438815722553
100% Corpus,3,symmetric,0.9099999999999999,0.4979054956352231
100% Corpus,3,symmetric,symmetric,0.44476277959642213
100% Corpus,3,asymmetric,0.01,0.3619339110175484
100% Corpus,3,asymmetric,0.31,0.5053597734435945
100% Corpus,3,asymmetric,0.61,0.45499323918529894
100% Corpus,3,asymmetric,0.9099999999999999,0.6051255435224105
100% Corpus,3,asymmetric,symmetric,0.5035721828328316
100% Corpus,4,0.01,0.01,0.39434550346290836
100% Corpus,4,0.01,0.31,0.4505149799664264
100% Corpus,4,0.01,0.61,0.42732444393663693
100% Corpus,4,0.01,0.9099999999999999,0.37404784462169716
100% Corpus,4,0.01,symmetric,0.45929688051707696
100% Corpus,4,0.31,0.01,0.430510893419087
100% Corpus,4,0.31,0.31,0.5331700714455072
100% Corpus,4,0.31,0.61,0.5531996017302137
100% Corpus,4,0.31,0.9099999999999999,0.529754105543797
100% Corpus,4,0.31,symmetric,0.5032891225511203
100% Corpus,4,0.61,0.01,0.39850574813028083
100% Corpus,4,0.61,0.31,0.504425528999345
100% Corpus,4,0.61,0.61,0.5281635695332423
100% Corpus,4,0.61,0.9099999999999999,0.5596477638472946
100% Corpus,4,0.61,symmetric,0.49091439854209074
100% Corpus,4,0.9099999999999999,0.01,0.3912473553419913
100% Corpus,4,0.9099999999999999,0.31,0.5028401638891404
100% Corpus,4,0.9099999999999999,0.61,0.49754509038775896
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5140847797300225
100% Corpus,4,0.9099999999999999,symmetric,0.5120475509960849
100% Corpus,4,symmetric,0.01,0.42666611927605363
100% Corpus,4,symmetric,0.31,0.5200291058928668
100% Corpus,4,symmetric,0.61,0.4447378136932203
100% Corpus,4,symmetric,0.9099999999999999,0.44545102040902046
100% Corpus,4,symmetric,symmetric,0.4683259195226805
100% Corpus,4,asymmetric,0.01,0.4313793386050224
100% Corpus,4,asymmetric,0.31,0.5636838429835398
100% Corpus,4,asymmetric,0.61,0.5521579938586694
100% Corpus,4,asymmetric,0.9099999999999999,0.5313322489663164
100% Corpus,4,asymmetric,symmetric,0.5517024658810615
100% Corpus,5,0.01,0.01,0.41334676346796595
100% Corpus,5,0.01,0.31,0.561171077821515
100% Corpus,5,0.01,0.61,0.5156667478282724
100% Corpus,5,0.01,0.9099999999999999,0.5280326687898506
100% Corpus,5,0.01,symmetric,0.4723745196594774
100% Corpus,5,0.31,0.01,0.410189920567266
100% Corpus,5,0.31,0.31,0.47789923565408915
100% Corpus,5,0.31,0.61,0.5266312696996776
100% Corpus,5,0.31,0.9099999999999999,0.5410897709418501
100% Corpus,5,0.31,symmetric,0.49363634187605554
100% Corpus,5,0.61,0.01,0.45010459109802703
100% Corpus,5,0.61,0.31,0.5084139896988447
100% Corpus,5,0.61,0.61,0.5257290200474292
100% Corpus,5,0.61,0.9099999999999999,0.5277047414371742
100% Corpus,5,0.61,symmetric,0.5138286728121686
100% Corpus,5,0.9099999999999999,0.01,0.42165548231963496
100% Corpus,5,0.9099999999999999,0.31,0.4594770687459853
100% Corpus,5,0.9099999999999999,0.61,0.5140157749043257
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.5180075316146654
100% Corpus,5,0.9099999999999999,symmetric,0.45515108374395885
100% Corpus,5,symmetric,0.01,0.4402208063851723
100% Corpus,5,symmetric,0.31,0.47825367337933117
100% Corpus,5,symmetric,0.61,0.5786433992371487
100% Corpus,5,symmetric,0.9099999999999999,0.5775804352881521
100% Corpus,5,symmetric,symmetric,0.5121901312158841
100% Corpus,5,asymmetric,0.01,0.4334630013966554
100% Corpus,5,asymmetric,0.31,0.5104211130488567
100% Corpus,5,asymmetric,0.61,0.5309376303905561
100% Corpus,5,asymmetric,0.9099999999999999,0.5071091251559674
100% Corpus,5,asymmetric,symmetric,0.4964480983610981
100% Corpus,6,0.01,0.01,0.44233938752632634
100% Corpus,6,0.01,0.31,0.5061459385038336
100% Corpus,6,0.01,0.61,0.5246029009391286
100% Corpus,6,0.01,0.9099999999999999,0.5428556050354524
100% Corpus,6,0.01,symmetric,0.5038865496512932
100% Corpus,6,0.31,0.01,0.45366834958382823
100% Corpus,6,0.31,0.31,0.5203907547948289
100% Corpus,6,0.31,0.61,0.5122667658750112
100% Corpus,6,0.31,0.9099999999999999,0.5202971800790704
100% Corpus,6,0.31,symmetric,0.5063899768918522
100% Corpus,6,0.61,0.01,0.4395931989751351
100% Corpus,6,0.61,0.31,0.518050629625917
100% Corpus,6,0.61,0.61,0.4676421817066727
100% Corpus,6,0.61,0.9099999999999999,0.5258071101143034
100% Corpus,6,0.61,symmetric,0.5077812498384134
100% Corpus,6,0.9099999999999999,0.01,0.42161481786349214
100% Corpus,6,0.9099999999999999,0.31,0.48381946954356453
100% Corpus,6,0.9099999999999999,0.61,0.4835908306434144
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4650644851595825
100% Corpus,6,0.9099999999999999,symmetric,0.47898352460682037
100% Corpus,6,symmetric,0.01,0.444341309372303
100% Corpus,6,symmetric,0.31,0.48472733698042264
100% Corpus,6,symmetric,0.61,0.4982195971372272
100% Corpus,6,symmetric,0.9099999999999999,0.5152046000775877
100% Corpus,6,symmetric,symmetric,0.48684839536255026
100% Corpus,6,asymmetric,0.01,0.4124263527073994
100% Corpus,6,asymmetric,0.31,0.5265676585632505
100% Corpus,6,asymmetric,0.61,0.5455494532062074
100% Corpus,6,asymmetric,0.9099999999999999,0.5213165394855076
100% Corpus,6,asymmetric,symmetric,0.48629989948455804
100% Corpus,7,0.01,0.01,0.45029274238204836
100% Corpus,7,0.01,0.31,0.5207926776141525
100% Corpus,7,0.01,0.61,0.46814115526352157
100% Corpus,7,0.01,0.9099999999999999,0.5549894732377284
100% Corpus,7,0.01,symmetric,0.495695964272258
100% Corpus,7,0.31,0.01,0.47089164003337786
